,Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
6605,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3735,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
2398,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
4520,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
5012,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
4381,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
756,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,3
2591,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
6041,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,3
652,CONFIRMED,1,1,0,1,1,1,1,1,1,3,1,2,2,2
5172,FALSE POSITIVE,1,1,0,1,1,1,1,1,1,3,1,3,3,3
1536,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
3867,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
4965,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,3,2,2
3967,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,1,3
6596,FALSE POSITIVE,1,1,1,1,1,1,2,1,1,1,2,2,3,2
4780,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,3
5457,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
6745,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
1599,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3970,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
4619,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2172,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
5577,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
5318,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
6085,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4477,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5051,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,1,3,2
6508,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,2,2
1104,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
1716,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,1,3
1618,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4439,FALSE POSITIVE,0,1,1,1,1,1,1,1,1,3,1,2,2,2
6791,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,2,3,2
1509,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2407,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
3645,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,2
4794,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
6008,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,1,2
3207,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
1673,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5641,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
7004,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,1,2,2
1937,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
6198,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3658,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,2,2
1593,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
5035,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,2,1,1,3,2
1970,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2880,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
3500,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
5568,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
131,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
2771,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
6314,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
299,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
6985,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,3,3
3143,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,1,2
3402,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,2,3
4404,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
1457,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4948,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
4114,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,3
6687,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,1,2,2
1407,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
5024,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,3,2
5361,FALSE POSITIVE,1,1,1,1,1,1,1,2,1,3,1,2,1,2
6296,FALSE POSITIVE,1,1,1,1,1,1,2,1,2,3,1,3,1,2
355,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,2,1,2
1775,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,1,2,2
1793,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
4792,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
924,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4048,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
6810,FALSE POSITIVE,1,1,1,1,1,1,1,1,2,3,1,2,2,2
1100,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,3,2
5985,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,2
959,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,3,3,2
5138,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,1,2
3445,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
2122,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,2
4796,FALSE POSITIVE,2,1,1,1,1,1,1,1,1,3,1,2,3,2
5605,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,2,1,3
4089,FALSE POSITIVE,1,1,1,1,1,1,1,1,1,3,1,3,2,3
3655,CONFIRMED,1,1,1,1,1,1,1,1,1,3,1,2,2,2
